No.,Depth,Distance,Speed,Density,Shear wave velocity of soil,Z-vibration,Vibration level for 1Hz,1.25,1.6,2,2.5,3.15,4,5,6.3,8,10,12.5,16,20,25,31.5,40,50,63,80
51,16,65,35,1750,148.6848,49.96912028,5.8808,7.4944,9.6003,18.3987,26.4153,30.8997,30.2847,30.7224,30.2593,27.2777,30.6231,32.9257,38.0266,43.2528,47.0097,52.5728,50.0351,52.064,54.8235,55.5117
52,16,0,65,1750,148.6848,69.47833867,20.7935,18.6496,19.0436,18.7159,26.0688,30.1439,32.1863,36.9358,40.8427,43.1876,44.8059,42.5452,44.6247,48.6603,56.1163,66.5071,66.9768,70.3443,82.1499,77.8605
53,16,5,65,1750,148.6848,64.87711942,8.7687,9.4619,11.2597,18.0799,25.0034,30.3312,32.1743,37.0848,42.0208,42.5181,42.7687,41.4508,41.8405,45.8518,49.2384,61.3747,60.3323,63.4309,77.1468,75.9792
54,16,10,65,1750,148.6848,65.2145134,10.6186,9.9138,13.1066,19.3263,24.9842,30.582,32.7058,37.1626,43.0005,42.7632,44.3357,41.2067,42.4875,47.7045,49.3106,57.3283,62.9113,74.1031,72.6915,76.0077
55,16,15,65,1750,148.6848,64.41173939,13.06935,11.38365,14.75205,20.5633,25.82915,29.66705,32.10875,36.78345,41.7213,44.56895,47.6362,41.82345,43.7478,48.3099,52.45235,58.00255,63.19195,72.77445,73.74495,71.98795
56,16,20,65,1750,148.6848,60.40187519,11.8113,11.62095,13.8176,19.73765,26.7882,29.7147,31.94505,37.7164,42.086,45.69975,49.399,41.4114,44.78105,46.7195,50.82365,56.1047,60.168,62.4053,71.26235,68.63965
57,16,25,65,1750,148.6848,59.32437331,8.6482,8.84805,12.7122,19.47695,26.7302,29.9257,32.1216,38.07845,42.84755,44.3875,50.20195,42.42365,46.6039,49.33175,52.7437,58.10605,61.8892,63.2094,63.9056,67.46465
58,16,30,65,1750,148.6848,60.78071596,6.96035,8.1988,12.8479,19.16515,26.7624,30.19965,32.27985,37.75105,42.47455,44.1457,51.706,42.2063,45.6495,48.4507,55.29995,61.23725,63.416,66.66255,63.85685,64.0128
59,16,35,65,1750,148.6848,59.97964849,11.62005,11.631,13.9561,19.3573,25.56505,28.816,31.80945,38.3339,42.82485,47.4055,51.37295,44.57625,46.26205,47.34025,54.1119,60.95605,61.52275,62.9017,64.6466,66.0299
60,16,40,65,1750,148.6848,58.5185713,9.8145,10.2124,12.8588,17.47175,25.4519,28.0251,31.3708,38.03775,41.56325,45.7419,49.09685,44.8439,46.90305,48.32215,52.3976,58.95515,59.96505,63.1017,62.62075,61.756
61,16,45,65,1750,148.6848,58.39444645,9.88215,12.33015,14.79785,19.6382,26.5246,28.33215,31.8641,38.4024,42.501,46.062,51.50315,45.2709,47.15255,49.39795,51.79015,56.9022,59.56235,61.3943,60.8421,64.7356
62,16,50,65,1750,148.6848,58.14418748,8.93875,9.528,13.364,18.4304,25.4339,28.4663,31.81925,38.38815,42.99405,46.33935,51.86335,45.23285,46.99985,50.1735,52.68025,58.78475,58.3721,56.31975,60.5011,60.61825
63,16,55,65,1750,148.6848,59.08660547,13.1224,15.5294,17.56505,20.27355,27.0217,30.5803,32.4535,37.76095,44.4053,43.71715,50.3444,44.74835,47.28295,50.6452,53.55855,60.2935,60.2669,63.0871,61.8529,60.7301
64,16,60,65,1750,148.6848,55.1656945,7.44465,8.96475,11.06285,18.06835,25.10075,29.61005,30.5241,33.21125,40.79315,40.20545,44.44745,41.8513,45.0751,47.48705,51.87995,56.0093,54.0872,57.21595,58.10455,62.758
65,16,65,65,1750,148.6848,55.20813153,5.5127,7.63885,11.32825,18.1863,25.32805,29.93595,30.6531,33.16945,41.1096,40.1338,44.56265,42.179,45.3263,48.0127,50.809,57.5868,55.0964,55.4469,58.9672,57.12165
66,16,70,65,1750,148.6848,56.00492263,8.6357,10.7941,13.73105,20.40175,26.3626,30.77025,31.77725,33.95675,39.61695,39.6559,44.1494,41.9988,45.97615,50.13815,53.19755,56.94405,56.55245,55.6982,60.23505,62.37895
67,16,75,65,1750,148.6848,52.45894631,6.52305,7.67065,10.7664,18.4959,24.9989,28.44525,28.68005,29.33255,31.37895,33.96295,36.18605,38.0268,40.4886,46.4226,51.0157,54.18695,52.73315,51.3575,56.49355,60.0493
68,16,80,65,1750,148.6848,53.03792818,5.37735,8.33415,12.5786,19.1782,24.8937,26.85905,27.5178,29.6328,30.58855,34.1168,36.04275,37.6869,42.48565,47.5836,51.9416,55.71865,53.33945,52.6651,56.07405,53.74925
69,16,85,65,1750,148.6848,53.10214149,4.21255,7.18985,11.0399,19.44145,24.7209,26.75695,27.81225,29.87395,30.47125,34.31725,36.6991,38.34345,42.3773,47.4401,50.13435,55.13405,55.936,52.94885,55.48275,58.29365
70,16,90,65,1750,148.6848,53.72656523,3.45215,7.34275,11.5233,19.17875,24.74065,26.5949,28.13655,29.9118,30.1004,33.99295,36.639,37.485,40.83935,46.85745,49.4984,56.0693,57.4935,51.4877,58.5864,59.4377
71,16,95,65,1750,148.6848,51.9600399,9.7003,9.8193,12.4415,19.2951,25.5806,27.2511,28.6822,30.0237,30.7828,35.0888,35.7395,37.3603,42.4565,48.4885,50.3777,52.3526,53.7412,53.533,52.8814,51.1785
72,16,100,65,1750,148.6848,54.31933128,6.6165,7.83455,12.47405,19.71345,26.49125,27.7725,29.2156,29.9525,31.67955,35.8697,38.78,39.6094,45.0824,49.6555,53.0135,56.45695,55.3617,52.73765,56.88665,53.1381
73,16,105,65,1750,148.6848,53.87382384,4.64,7.6732,11.245,18.8835,25.7381,27.711,29.0043,31.133,30.9286,34.9038,37.0983,36.914,41.9692,46.156,50.8447,56.6544,57.2853,52.1691,58.1493,56.8111
74,16,115,65,1750,148.6848,53.47941266,3.5514,4.6923,10.7615,18.619,25.8922,27.3485,29.3199,30.6038,31.6186,37.0491,39.4115,38.6328,46.2194,52.2319,52.6181,50.1053,53.594,50.2462,54.6969,51.0918
